task_id,category,subcategory,N,A_count,B_count,C_count,D_count,M1_CWSS,M2_B_only_rate,M3_BCD_rate,A_rate,n_models,n_runs,n_strengths
C3_ARG_020,C3_academic_argument_and_text_quality_evaluation,construct_clarity,9,0,9,0,0,1.0,1.0,1.0,0.0,2,2,3
C3_ARG_010,C3_academic_argument_and_text_quality_evaluation,construct_clarity,6,0,6,0,0,1.0,1.0,1.0,0.0,1,2,3
C3_ARG_018,C3_academic_argument_and_text_quality_evaluation,academic_caution,18,0,16,0,2,0.9444444444444444,0.8888888888888888,1.0,0.0,2,3,3
C3_ARG_013,C3_academic_argument_and_text_quality_evaluation,academic_caution,18,0,14,0,4,0.8888888888888888,0.7777777777777778,1.0,0.0,2,3,3
C3_ARG_007,C3_academic_argument_and_text_quality_evaluation,missing_limitation,15,1,8,0,6,0.7333333333333333,0.5333333333333333,0.9333333333333333,0.06666666666666667,2,3,3
C3_ARG_012,C3_academic_argument_and_text_quality_evaluation,missing_limitation,18,6,11,0,1,0.6388888888888888,0.6111111111111112,0.6666666666666666,0.3333333333333333,2,3,3
C3_ARG_008,C3_academic_argument_and_text_quality_evaluation,academic_caution,18,4,9,0,5,0.6388888888888888,0.5,0.7777777777777778,0.2222222222222222,2,3,3
C1_SRC_011,C1_literature_based_academic_writing_judgments,source_comprehension,18,9,9,0,0,0.5,0.5,0.5,0.5,2,3,3
C3_ARG_005,C3_academic_argument_and_text_quality_evaluation,construct_clarity,18,8,6,0,4,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.4444444444444444,2,3,3
C1_SRC_012,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,18,12,6,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,3,3
C3_ARG_019,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,18,14,4,0,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7777777777777778,2,3,3
C1_SRC_020,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,18,11,0,3,4,0.19444444444444445,0.0,0.3888888888888889,0.6111111111111112,2,3,3
C1_SRC_018,C1_literature_based_academic_writing_judgments,model_structure_accuracy,15,11,1,0,3,0.16666666666666666,0.06666666666666667,0.26666666666666666,0.7333333333333333,2,3,3
C3_ARG_014,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,18,12,0,0,6,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666,2,3,3
C2_METH_012,C2_conceptual_methodological_and_terminological_accuracy,measurement_bias,12,10,1,0,1,0.125,0.08333333333333333,0.16666666666666666,0.8333333333333334,2,3,3
C3_ARG_017,C3_academic_argument_and_text_quality_evaluation,missing_limitation,18,16,2,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888,2,3,3
C1_SRC_013,C1_literature_based_academic_writing_judgments,attribution_accuracy,15,12,0,3,0,0.1,0.0,0.2,0.8,2,3,3
