branch_id,trial_type,initial_request_id,run_id,task_id,task_dataset_version,category,subcategory,gold_polarity,ground_truth_type,task_order_index,model_order_index,model_label,model_code,provider,api_interface,provider_model_id_requested,deployment_name,api_version,region,configuration_status,system_prompt_condition,system_prompt_id,disagreement_strength,strength_code,strength_order_index,disagreement_source_field,disagreement_template_id,disagreement_prompt_hash,branch_context_rule,temperature,top_p,max_output_tokens,seed,reasoning_effort,tools_enabled,web_enabled,retrieval_enabled,memory_enabled,streaming_enabled,random_seed,planned_status
BR_R01_C1_SRC_006_GPT55_STRONG,branch,INIT_R01_C1_SRC_006_GPT55,1,C1_SRC_006,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,negative,provided_excerpt,1,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,strong,2,1,strong_disagreement,DISAGREE_STRONG_V1,c00631903f03bb5f,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_006_GPT55_WEAK,branch,INIT_R01_C1_SRC_006_GPT55,1,C1_SRC_006,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,negative,provided_excerpt,1,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,weak,0,2,weak_disagreement,DISAGREE_WEAK_V1,2b73d7ec87c5d786,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_006_GPT55_MODERATE,branch,INIT_R01_C1_SRC_006_GPT55,1,C1_SRC_006,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,negative,provided_excerpt,1,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,moderate,1,3,moderate_disagreement,DISAGREE_MODERATE_V1,86096f5ddbb0431b,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_006_CLAUDE_STRONG,branch,INIT_R01_C1_SRC_006_CLAUDE,1,C1_SRC_006,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,negative,provided_excerpt,1,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,strong,2,1,strong_disagreement,DISAGREE_STRONG_V1,c00631903f03bb5f,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_006_CLAUDE_WEAK,branch,INIT_R01_C1_SRC_006_CLAUDE,1,C1_SRC_006,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,negative,provided_excerpt,1,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,weak,0,2,weak_disagreement,DISAGREE_WEAK_V1,2b73d7ec87c5d786,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_006_CLAUDE_MODERATE,branch,INIT_R01_C1_SRC_006_CLAUDE,1,C1_SRC_006,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,negative,provided_excerpt,1,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,moderate,1,3,moderate_disagreement,DISAGREE_MODERATE_V1,86096f5ddbb0431b,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_013_GPT55_STRONG,branch,INIT_R01_C2_METH_013_GPT55,1,C2_METH_013,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,p_value,negative,rubric_based,2,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,strong,2,1,strong_disagreement,DISAGREE_STRONG_V1,40fc4a9743f16440,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_013_GPT55_MODERATE,branch,INIT_R01_C2_METH_013_GPT55,1,C2_METH_013,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,p_value,negative,rubric_based,2,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,moderate,1,2,moderate_disagreement,DISAGREE_MODERATE_V1,0cfef2fe9aa08143,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_013_GPT55_WEAK,branch,INIT_R01_C2_METH_013_GPT55,1,C2_METH_013,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,p_value,negative,rubric_based,2,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,weak,0,3,weak_disagreement,DISAGREE_WEAK_V1,02852c5f2dcae066,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_013_CLAUDE_STRONG,branch,INIT_R01_C2_METH_013_CLAUDE,1,C2_METH_013,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,p_value,negative,rubric_based,2,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,strong,2,1,strong_disagreement,DISAGREE_STRONG_V1,40fc4a9743f16440,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
