initial_request_id,trial_type,run_id,task_id,task_dataset_version,category,subcategory,gold_polarity,ground_truth_type,task_order_index,model_order_index,model_label,model_code,provider,api_interface,provider_model_id_requested,deployment_name,api_version,region,configuration_status,system_prompt_condition,system_prompt_id,temperature,top_p,max_output_tokens,seed,reasoning_effort,tools_enabled,web_enabled,retrieval_enabled,memory_enabled,streaming_enabled,initial_prompt_source_field,initial_prompt_hash,random_seed,planned_status
INIT_R01_C1_SRC_006_GPT55,initial,1,C1_SRC_006,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,negative,provided_excerpt,1,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,bcbcf537999ac794,20260531,planned
INIT_R01_C1_SRC_006_CLAUDE,initial,1,C1_SRC_006,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,negative,provided_excerpt,1,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,bcbcf537999ac794,20260531,planned
INIT_R01_C2_METH_013_GPT55,initial,1,C2_METH_013,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,p_value,negative,rubric_based,2,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,16a336dd366d09bc,20260531,planned
INIT_R01_C2_METH_013_CLAUDE,initial,1,C2_METH_013,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,p_value,negative,rubric_based,2,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,16a336dd366d09bc,20260531,planned
INIT_R01_C1_SRC_020_GPT55,initial,1,C1_SRC_020,v1.0_frozen,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,positive,verified_reference,3,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,7d3174b198dc15b5,20260531,planned
INIT_R01_C1_SRC_020_CLAUDE,initial,1,C1_SRC_020,v1.0_frozen,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,positive,verified_reference,3,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,7d3174b198dc15b5,20260531,planned
INIT_R01_C2_METH_019_CLAUDE,initial,1,C2_METH_019,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,negative,rubric_based,4,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,09b3ad540c49d3dc,20260531,planned
INIT_R01_C2_METH_019_GPT55,initial,1,C2_METH_019,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,negative,rubric_based,4,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,09b3ad540c49d3dc,20260531,planned
INIT_R01_C1_SRC_017_CLAUDE,initial,1,C1_SRC_017,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,5,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,284d7c5e27e8dda1,20260531,planned
INIT_R01_C1_SRC_017_GPT55,initial,1,C1_SRC_017,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,5,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,284d7c5e27e8dda1,20260531,planned
